batch_average,batch_best
38508.325454,35796.363992
38924.502493,35938.647831
38812.621736,36369.808550
38884.840772,35927.983100
38808.521506,36151.526157
38817.775864,36317.712449
38834.286334,36320.791296
38811.445124,36056.609388
38797.804300,35917.404397
38715.528039,36237.003502
38800.445950,36088.189276
38741.298280,36487.921279
38857.075111,36202.829738
38808.331624,36165.183707
38786.076776,36170.306159
38797.916195,36063.009331
38770.626857,35966.291207
38727.782415,36172.769591
38781.249861,36214.352133
38796.880408,36112.360386
38640.091571,36292.477544
38752.518825,36063.009331
38839.427808,36088.315060
38684.473033,36355.541109
38673.441336,35853.452101
38661.841576,36563.515533
38643.178204,36168.322175
38732.376482,36146.536229
38679.930426,36252.180792
38706.745550,36040.822206
38801.872699,36314.792532
38581.608291,35989.335997
38730.864109,35997.719924
38744.070237,36327.040067
38722.136511,36376.601914
38779.903502,36359.563647
38665.496798,36161.922232
38736.996134,36064.810687
38673.890147,36174.904746
38712.871257,36128.762983
38602.285783,36312.871613
38687.257937,36120.561684
38731.248156,36153.327513
38600.115760,36074.531726
38702.990624,36092.454064
38615.262355,36590.700886
38662.670623,36152.383821
38666.411816,36427.631638
38621.286448,36536.880992
38683.569209,36427.230459
38588.588454,36374.407137
38662.302784,36435.431758
38637.726027,36257.965320
38614.266185,36282.018945
38612.493304,36206.150834
38599.963981,36196.429795
38556.991216,36353.163704
38602.051702,36429.932777
38541.701997,35977.813602
38601.349329,36267.024283
38603.178545,36127.756226
38577.280668,36160.009071
38578.835670,36175.980961
38628.559820,35784.841598
38595.896153,36263.238943
38553.465071,36330.793950
38545.213509,36427.230459
38536.494642,36266.166619
38526.428165,36295.611351
38589.858744,36257.965320
38590.820975,36235.595566
38577.877782,35977.813602
38561.583196,36119.435364
38509.769299,36245.316605
38534.996320,36186.427141
38503.416905,35812.484974
38549.981200,36489.842198
38464.097351,36230.321943
38400.787107,36142.198539
38483.931643,35570.161916
38521.271395,36377.879405
38538.659819,36211.031037
38375.518058,36197.373486
38505.088634,36353.557124
38582.145281,36352.438563
38578.992611,36446.615692
38482.786189,36291.346564
38433.741918,36095.775160
38370.411001,36168.786419
38497.062049,36415.556893
38483.486928,36246.442925
38497.459470,36519.286931
38403.739565,36419.247710
38412.101937,36156.925564
38448.386315,36430.551555
38385.111635,36002.993547
38344.341766,36187.652447
38418.807437,36516.028900
38430.463009,36206.150834
38410.358359,36371.479462
38460.619869,36082.451409
38397.592893,36210.415621
38348.658006,36235.595566
38350.271583,36577.957845
38365.794752,35963.827776
38305.106618,36312.589997
38326.194481,36055.089648
38436.828245,36235.595566
38341.726303,36474.204108
38333.845362,36302.011294
38324.574314,36319.271555
38334.095228,36431.495246
38284.178754,35934.383043
38421.343182,36388.401263
38303.014657,36342.034730
