batch_average,batch_best
12373.683165,9824.131831
11882.472968,8730.296230
11311.764456,8307.502342
10960.360109,8673.820062
10568.077294,7502.538962
10325.496755,7948.654595
10089.131832,7491.859302
9862.700108,7600.933767
9622.596989,7052.619311
9415.933451,6839.507328
9131.481665,6777.900334
9131.325841,6638.936002
9014.371271,6873.021357
8752.557392,6950.063746
8669.529718,6604.139821
8518.325546,6634.380712
8412.231956,6633.098561
8423.875376,6660.975594
8310.515225,6291.587401
8168.325511,6529.461289
8113.189060,6482.659792
8074.339841,6524.906000
8039.346934,6536.265933
7876.646826,6372.103374
7880.747642,6454.782758
7698.512407,6366.151429
7701.023350,6373.070576
7596.788447,6271.911666
7596.513731,6394.142966
7493.114752,6277.749107
7474.652265,6304.343989
7455.146994,6305.626141
7422.791211,6284.668254
7377.541991,6336.976758
7295.127596,6256.460785
7295.226529,6346.590197
7229.212828,6353.509345
7249.474844,6216.908870
7181.040532,6215.827164
7154.083291,6203.070576
7104.484359,6140.066926
7061.559443,6190.313988
7044.985187,6196.151429
7046.689667,6222.746311
7024.017624,6146.986073
7060.977582,6158.660955
6986.852925,6120.391191
6897.775353,6127.310338
6890.168480,6138.985220
6898.343510,6045.712660
6872.739337,6196.151429
6872.604299,6196.151429
6806.554288,6115.635456
6781.167184,5971.034129
6741.515765,6141.148632
6746.704058,6064.306689
6699.960447,6064.306689
6708.277386,6064.306689
6732.258187,6082.900718
6676.427588,6045.712660
6708.845090,6001.303039
6670.805668,6065.388395
6651.095805,6058.469248
6624.248928,5964.114981
6624.758257,6083.982424
6596.602869,6032.956072
6600.631152,6032.956072
6589.606523,5971.034129
6559.710985,6039.875219
6543.793708,5995.465598
6541.679537,5982.709010
6554.425574,6027.118631
6516.130024,5971.034129
6534.687215,5901.111332
6513.854683,5995.465598
6513.245571,5971.034129
6530.508784,5982.709010
6451.979385,5964.114981
6503.255773,5976.871569
6452.858493,5989.628157
6424.747212,5964.114981
6411.866493,5895.273891
6526.955379,5927.706214
6410.595461,5908.030479
6426.890744,5889.436450
6405.275885,5908.030479
6428.103777,5901.111332
6413.147702,5908.030479
6395.855831,5908.030479
6313.167812,5908.030479
