0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0.000118,0.000190,0.000244,0.000502,0.002778,0.021414,0.147145,0.684523,0.147146,0.021420,0.002782,0.000506,0.000255,0.000228,0.000224,0.000224,0.000224,0.000224,0.000224,0.000224,0.000224,0.000224,0.000224,0.000224,0.000224,0.000223,0.000221,0.000213,0.000186,0.000117
0.000190,0.000316,0.000479,0.001706,0.014949,0.149422,1.354267,9.287607,1.354266,0.149421,0.014949,0.001709,0.000496,0.000376,0.000360,0.000357,0.000356,0.000356,0.000356,0.000356,0.000356,0.000356,0.000356,0.000356,0.000356,0.000355,0.000352,0.000339,0.000296,0.000186
0.000242,0.000470,0.000970,0.004555,0.053179,0.700869,9.377639,127.332875,9.377636,0.700861,0.053167,0.004540,0.001003,0.000545,0.000439,0.000415,0.000409,0.000408,0.000408,0.000408,0.000408,0.000408,0.000408,0.000408,0.000408,0.000407,0.000404,0.000389,0.000339,0.000213
0.000474,0.001576,0.004237,0.004291,0.021828,0.240199,2.681488,28.031180,2.681482,0.240172,0.021725,0.004049,0.004492,0.001742,0.000702,0.000473,0.000432,0.000425,0.000423,0.000423,0.000423,0.000423,0.000423,0.000423,0.000423,0.000422,0.000419,0.000404,0.000352,0.000221
0.002508,0.013550,0.049167,0.025706,0.010537,0.041428,0.329957,2.027961,0.329925,0.041216,0.009407,0.022264,0.052613,0.014742,0.002962,0.000799,0.000479,0.000434,0.000428,0.000427,0.000427,0.000427,0.000427,0.000427,0.000426,0.000426,0.000422,0.000407,0.000355,0.000223
0.019214,0.135594,0.647328,0.293725,0.054995,0.013128,0.034536,0.144831,0.034320,0.011341,0.043202,0.244668,0.696384,0.147469,0.021457,0.002961,0.000713,0.000460,0.000431,0.000428,0.000427,0.000427,0.000427,0.000427,0.000427,0.000426,0.000423,0.000408,0.000356,0.000224
0.132623,1.234179,8.620744,3.438397,0.450032,0.048927,0.008378,0.011789,0.007140,0.036476,0.340797,2.698146,9.361008,1.343582,0.146461,0.014580,0.001731,0.000548,0.000440,0.000429,0.000428,0.000427,0.000427,0.000427,0.000427,0.000427,0.000423,0.000408,0.000356,0.000224
0.620728,8.464173,116.011611,39.352455,2.851435,0.209053,0.017035,0.004790,0.012614,0.150990,2.051004,25.883205,129.480890,9.264928,0.682434,0.051036,0.004214,0.000719,0.000452,0.000430,0.000428,0.000427,0.000427,0.000427,0.000427,0.000427,0.000423,0.000408,0.000356,0.000224
0.132609,1.234159,8.620730,3.438396,0.450081,0.049289,0.010501,0.019922,0.009264,0.036838,0.340846,2.698146,9.360997,1.343565,0.146443,0.014570,0.001727,0.000547,0.000439,0.000429,0.000428,0.000427,0.000427,0.000427,0.000427,0.000427,0.000423,0.000408,0.000356,0.000224
0.019195,0.135569,0.647313,0.293754,0.055346,0.016201,0.057573,0.262225,0.057357,0.014414,0.043554,0.244701,0.696378,0.147454,0.021441,0.002952,0.000709,0.000459,0.000431,0.000428,0.000427,0.000427,0.000427,0.000427,0.000427,0.000427,0.000423,0.000408,0.000356,0.000224
